title;empirical? (does it present new data or analysis existing data);hypothesis testing /statistical inference? Does it mention hypotheses or uses null hypothesis significance testing?;What type of work is it? experiment? corpus? other?;notes on empirical nature;replic* ?;how is the term used?;is it a direct replication?;is it an independent replication? (no overlap in authors);replication notes;is the paper a method paper;power analysis (if power*, check);power notes
Online perception of glottalized coda stops in American English;yes;yes;experimental;NA;yes;showing a similar effect;no;no;"“which replicates the findings of Sumner and Samuel (2005) that both canonical non-glottalized coda [t] as well as glottalized coda [ʔ͡t] are equally effective in priming a given target word""";no;no;
Question Word Intonation in Tashlhiyt Berber: Is ‘high’ good enough?;yes;no;experimental;NA;no;NA;no;no;NA;no;no;
Resyllabification Reconsidered: On the Durational Properties of Word-Final /s/ in Spanish;yes;yes;experimental;NA;yes;showing a similar effect;no;no;“It remains to be seen whether our findings can be replicated for other speakers […]”;no;no;
The Distribution of Talker Variability Impacts Infants’ Word Learning;yes;yes;experimental;NA;yes;conceptually replicating;no;no;"“To ensure that our correlated variability experiment was comparable—in all ways except the talker-gender correlation—with prior talker-variability studies, Experiment 1, which we refer to as the “Uncorrelated” case, aimed to replicate Rost and McMurray’s (2009) uncorrelated-variability condition”; “Our design departed from Rost and McMurray’s in the following ways""";no;no;
The role of vowel length and glottalization in German learners’ perception of the English coda stop voicing contrast;yes;yes;experimental;NA;no;NA;no;no;NA;no;no;
Variation in children’s vowel production: Effects of language exposure and lexical frequency;yes;yes;experimental;NA;yes;showing a similar effect;no;no;“Additionally, we replicate previous findings that frequent words are produced with more variability (greater Euclidean distances) than less frequent words by speakers with different accent and language backgrounds […]”;no;no;
Whence the fuzziness? Morphological effects in interacting sound changes in Southern British English;yes;yes;experimental;NA;no;NA;no;no;NA;no;no;
A replicable acoustic measure of lenition and the nature of variability in Gurindji stops;yes;yes;observational;field work recordings analysed;no;NA;NA;NA;NA;yes;no;
Analysis of Intonation: the Case of MAE_ToBI;yes;yes;experiment;NA;yes;showing a similar effect;no;no;“These results replicate those obtained in Gussenhoven (2008) for Dutch.”;yes;no;
Analyzing speech in both time and space: Generalized additive mixed models can uncover systematic patterns of variation in vocal tract shape in real-time MRI;yes;yes;existing experimental data;not really hypothesis testing, but using NHST;no;NA;NA;NA;NA;yes;no;
Automatic motion tracking of lips using digital video and OpenFace 2.0;yes;yes;experiment;not really hypothesis testing, but using NHST;no;NA;NA;NA;NA;yes;no;
From categories to gradience: Auto-coding sociophonetic variation with random forests;yes;yes;experiment;NA;yes;other;NA;NA;“those methods seek to replicate the labor of a competent human…”;yes;no;
Iconicity correlated with vowel harmony in Korean ideophones;yes;yes;experiment;NA;yes;showing a similar effect;NA;NA;“The rating task partly replicates work by Perry et al. (2015)”;no;no;
Individual and dialect differences in perceiving multiple cues: A tonal register contrast in two Chinese Wu dialects;yes;yes;experiment;NA;no;NA;NA;NA;NA;no;no;
Individual and dialect differences in perceiving multiple cues: A tonal register contrast in two Chinese Wu dialects;yes;yes;experiment;NA;no;NA;NA;NA;NA;no;no;
Language-independent talker-specificity in bilingual speech intelligibility: Individual traits persist across first-language and second-language speech;yes;yes;experiment;NA;yes;showing a similar effect;NA;NA;“[…] this study replicated the well-known and reliable dissociation between L1 and L2 speaking rates in absolute terms […]”;no;no;
On the nature of the perception-production link: Individual variability in English sibilant-vowel coarticulation;yes;yes;experiment;NA;no;NA;NA;NA;NA;no;no;
Perceptual distinctiveness between dental and palatal sibilants in different vowel contexts and its implications for phonological contrasts;yes;yes;experiment;NA;no;NA;NA;NA;NA;no;no;
Predictability modulates pronunciation variants through speech planning effects: A case study on coronal stop realizations;yes;yes;corpus;NA;no;NA;NA;NA;NA;no;no;
Rapid generalization in phonotactic learning;yes;yes;experiment;NA;yes;conceptually replicating;no;no;“To replicate the findings of Experiment 1 and broaden the scope of the conclusion […]”;no;no;
Researcher degrees of freedom in phonetic research;yes;no;simulation;NA;yes;referring to the concept;no;no;NA;yes;yes;mentions the concept and the simulation is a power simulation
Statistical and acoustic effects on the perception of stop consonants in Kaqchikel (Mayan);yes;yes;experiment;NA;yes;showing a similar effect;no;no;“ur study replicates some past results regarding the influence of segment-level distributional statistics on speech perception […]“;no;no;
Stress Effects on Stop Bursts in Five Languages;yes;yes;experiment;NA;yes;showing a similar effect;no;no;“This pattern is almost exactly replicated for Warlpiri”;no;no;
Surface and Structure: Transcribing Intonation within and across Languages;yes;yes;experiment;NA;no;NA;NA;NA;NA;yes;no;
The Importance of a Distributional Approach to Categoriality in Autosegmental-Metrical Accounts of Intonation;yes;yes;experiment;NA;no;NA;NA;NA;NA;no;no;
The phonetics and phonology of lenition: A Campidanese Sardinian case study;yes;yes;observational;NA;no;NA;NA;NA;NA;no;no;
Thematic role predictability and planning affect word duration;yes;yes;experiment;NA;yes;conceptually replicating;no;no;“Experiment 2 aimed to replicate this finding with a slightly different methodology.”;no;no;
Towards an International Prosodic Alphabet (IPrA);no;NA;theory;NA;no;NA;NA;NA;NA;yes;no;
